id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
1252,REQ-INTG-001,Technical,The system shall integrate with the Firebase Cloud Messaging (FCM) service to send push notifications to Android and iOS mobile clients.,Third-Party Integrations,The system shall integrate with Firebase Cloud Messaging (FCM) for sending push notifications.,['FCM will be used as the sole provider for push notifications.'],[],[],FALSE,high,"[""Verify that when a user's service request status changes, a push notification is successfully sent and received on their registered device via FCM."", 'Verify that the system correctly handles FCM tokens for device registration and unregistration.', 'Verify that the integration can successfully send notifications to both iOS (via APNs bridge in FCM) and Android devices.']"
1253,REQ-FUNC-002,Functional,The system shall provide an interface for a Super Admin to define a service center's geographic service area by inputting a list of postal codes and drawing a geofenced polygon on a map.,Super Admin - Onboarding,The system shall allow a Super Admin to define a service center's geographic service area using a list of postal codes and a geofenced polygon for each brand they are linked to.,[],"[""The underlying database must support geospatial queries (e.g., using PostGIS).""]",['REQ-FUNC-001'],FALSE,high,"['Verify that a Super Admin can select a service center and associate it with a specific brand.', 'Verify that the interface allows for both manual entry of postal codes and drawing a polygon on an integrated map.', 'Verify that the defined service area is correctly stored and used by the service request routing algorithm.']"
1254,REQ-BR-001,Business Rule,"The system must prevent users from editing the Serial Number, Purchase Date, and Model fields of a registered product after the first service request has been created for that product.",User Product Management,"Critical product details (Serial Number, Purchase Date, Model) shall become non-editable after the first service request has been raised for that product to preserve the integrity of claim records.",[],[],"['REQ-FUNC-003', 'REQ-FUNC-010']",FALSE,high,"['Verify that a user can successfully edit product details before any service request is raised.', 'Verify that after a service request is created for a product, the UI fields for Serial Number, Purchase Date, and Model are disabled or hidden.', 'Verify that any API attempts to modify these locked fields for such a product are rejected with an appropriate error code.']"
1255,REQ-FUNC-004,Functional,The system shall allow a user to initiate an ownership transfer of a registered product to another user by specifying the recipient's registered email address.,User Product Management,"The system shall provide a 'Transfer Ownership' feature allowing a user to initiate a transfer of a product record, including its full service history, to another registered user via their registered email address.",['The recipient must have an existing account on the platform.'],[],['REQ-FUNC-003'],FALSE,medium,"[""Verify that the initiating user can select a product and enter a recipient's email to start the transfer."", 'Verify that the system sends a notification to the recipient with options to accept or reject the transfer.', 'Verify that upon acceptance, the product record, including its entire service history, is disassociated from the original owner and associated with the new owner.']"
1256,REQ-BR-002,Business Rule,The system must automatically expire a pending product ownership transfer request if the recipient does not accept or reject it within 72 hours of initiation.,User Product Management,"The system shall send a notification to the recipient of a product transfer, who must accept or reject the transfer within 72 hours. If no action is taken, the transfer request expires.",[],[],['REQ-FUNC-004'],FALSE,medium,"['Verify that a pending transfer request is created with an expiry timestamp of 72 hours in the future.', ""Verify that if a recipient takes no action, the request's status changes to 'Expired' after 72 hours."", 'Verify that an expired request can no longer be accepted by the recipient.']"
1257,REQ-FUNC-005,Functional,"The system shall display a color-coded badge on each digital warranty card to indicate the current warranty status: Green for valid, Amber for expiring within 30 days, and Red for expired.",Digital Warranty Card,Each digital warranty card shall display a color-coded badge indicating the warranty status.,[],[],['REQ-FUNC-003'],FALSE,high,"['Verify that a warranty card with an expiry date more than 30 days in the future displays a Green badge.', 'Verify that a warranty card with an expiry date between 1 and 30 days in the future displays an Amber badge.', 'Verify that a warranty card with an expiry date in the past displays a Red badge.']"
1258,REQ-FUNC-007,Functional,"The system shall provide a real-time, two-way chat interface within each service request ticket, enabling communication between the user and the assigned service center personnel or technician.",Service Request Management,The system shall provide a two-way chat feature within the service request for communication between the User and the assigned Service Center/Technician.,[],[],[],FALSE,high,"['Verify that a user can send a message and it is visible to the assigned service center admin and technician.', 'Verify that a technician can send a message and the user receives it in their app.', 'Verify that users receive a push notification for new, unread chat messages.', 'Verify that the chat history is preserved and accessible for the lifetime of the service request plus one year.']"
1259,REQ-FUNC-008,Functional,The system shall allow a user to change a service request's status to 'Disputed' if the action is taken within 7 calendar days of the ticket being marked as 'Resolved'.,Service Request Management,The system shall allow a User to initiate a 'Dispute' within 7 days of a resolution if they are unsatisfied.,[],[],[],FALSE,high,"[""Verify that a 'Dispute' button is visible on a resolved ticket for 7 days after resolution."", ""Verify that clicking the 'Dispute' button changes the ticket status to 'Disputed' and re-opens it."", 'Verify that a notification is automatically sent to the respective Brand Administrator when a ticket is disputed.', ""Verify that the 'Dispute' button is no longer available 8 days after resolution.""]"
1260,REQ-FUNC-009,Functional,"The technician's mobile application shall provide a 'Travel Mode' feature that, when activated for a specific job, shares the technician's real-time GPS location with the corresponding customer.",Technician Mobile App,"The Technician mobile application shall allow a technician to activate a 'Travel Mode' for a specific job, which shares their location with the customer.",[],"[""The feature requires access to the device's GPS.""]",[],FALSE,high,"['Verify that the technician is prompted for location sharing permissions upon first activation.', ""Verify that when 'Travel Mode' is active, the technician's location is updated on the customer's map view at least every 30 seconds."", ""Verify that location sharing automatically stops when 'Travel Mode' is deactivated or the job is marked as complete."", 'Verify that location data history is purged 24 hours after job completion.']"
1261,REQ-FUNC-010,Functional,The technician's mobile application shall provide an interface to capture a customer's digital signature on the device's screen and save it as a PNG image file.,Technician Mobile App,The Technician mobile application shall allow a technician to capture the customer's digital signature as an image file (PNG) as proof of service completion.,[],[],[],FALSE,medium,"['Verify that the application presents a canvas for the customer to sign.', 'Verify that upon saving, the signature is converted to a PNG image.', 'Verify that the saved signature image is uploaded and linked to the corresponding service request record as proof of completion.']"
1262,REQ-DATA-001,Data,"The system shall process uploaded invoice images and PDFs using an Optical Character Recognition (OCR) service to automatically extract and suggest values for the Product Name, Brand, Purchase Date, and Serial Number fields.",Invoice Vault,"The system shall utilize Optical Character Recognition (OCR) to attempt to automatically parse and pre-fill fields like Product Name, Brand, Purchase Date, and Serial Number from uploaded invoices, requiring user confirmation before saving.",['An external or internal OCR service is available and integrated.'],[],[],FALSE,medium,"['Verify that after an invoice is uploaded, the system attempts OCR processing.', ""Verify that if data is successfully extracted, the corresponding fields in the product registration form are pre-filled for the user's review."", 'Verify that the user must explicitly confirm or edit the OCR-extracted data before the product can be saved.', 'Verify that if OCR fails, the user is prompted to enter the data manually without error.']"
1263,REQ-FUNC-011,Functional,The system shall provide a report or dashboard widget for Brand Admins that analyzes and displays the most frequent 'Type of Issue' selections from service requests for their products.,Brand Dashboard,The Brand Dashboard shall provide an analysis of frequent fault patterns based on 'Type of issue' data.,[],[],[],FALSE,high,"['Verify that the dashboard displays a chart (e.g., bar chart) showing the count of service requests per issue type.', 'Verify that the data can be filtered by product model and a specific date range.', 'Verify that the report accurately reflects the data submitted by users in service requests.']"
1264,REQ-UI-001,UI,All web and mobile user interfaces shall be developed to meet the Web Content Accessibility Guidelines (WCAG) 2.1 at the Level AA conformance standard.,Accessibility,All user interfaces shall comply with Web Content Accessibility Guidelines (WCAG) 2.1 Level AA.,[],[],[],FALSE,high,"['Verify that all images have appropriate alternative text.', 'Verify that color contrast ratios for text and interactive elements meet the 4.5:1 standard.', 'Verify that all functionality is operable through a keyboard interface without requiring a mouse.', 'Verify that automated accessibility testing tools (e.g., Axe) report no critical violations.']"
1265,REQ-PERF-001,Non-Functional,The system's standard API endpoints must respond with a 95th percentile (P95) latency of less than 250 milliseconds under the defined standard load.,Performance,The 95th percentile (P95) latency for all standard API endpoints shall be below 250ms.,"['Standard load is defined as 10,000 concurrent users.']",[],[],FALSE,high,"['Verify through load testing that the P95 response time for GET requests to /products is under 250ms.', 'Verify through load testing that the P95 response time for GET requests to /service-requests is under 250ms.', 'Verify that performance metrics are continuously monitored in the production environment.']"
1266,REQ-PERF-002,Non-Functional,The end-to-end latency for a technician's GPS location update to be reflected on the user's map display must be less than 2 seconds.,Performance,Location updates from the technician's device to the user's map display shall have a latency of less than 2 seconds.,['Assumes stable internet connectivity for both the technician and the user.'],[],['REQ-FUNC-009'],FALSE,high,"[""Measure the time from when the technician's app sends a location packet to when the user's app renders the updated location on the map."", 'Verify that this measured time is consistently below 2 seconds during testing.', 'Verify that WebSockets are used for real-time communication to minimize latency.']"
1267,REQ-REL-001,Non-Functional,The system must be recoverable to a fully operational state within 4 hours following a disaster event.,Reliability,The system shall have a Recovery Time Objective (RTO) of less than 4 hours.,[],[],[],FALSE,high,"['Verify that the documented disaster recovery plan can be executed within the 4-hour timeframe.', 'Verify that infrastructure can be redeployed in a secondary region using Terraform within the RTO.', 'Verify that database restoration from a geo-replicated snapshot and failover procedures are tested at least twice per year.']"
1268,REQ-REL-002,Non-Functional,"The system must ensure that in the event of a disaster, no more than 15 minutes of data is lost.",Reliability,The system shall have a Recovery Point Objective (RPO) of less than 15 minutes.,[],[],[],FALSE,high,"['Verify that the primary PostgreSQL database is configured for point-in-time recovery.', 'Verify that transaction log backups are performed at a frequency sufficient to meet the 15-minute RPO.', 'Verify during disaster recovery drills that data can be restored to a point within 15 minutes of the simulated failure.']"
1269,REQ-SCAL-001,Non-Functional,The system's microservices deployed on Azure Kubernetes Service (AKS) shall be configured to scale horizontally automatically using Horizontal Pod Autoscalers (HPAs).,Scalability,Microservices deployed on AKS shall be configured with Horizontal Pod Autoscalers (HPA) to automatically adjust the number of running instances based on CPU and memory usage.,[],[],['REQ-PLAT-002'],FALSE,high,"['Verify that HPAs are defined for all stateless microservices.', 'Verify under a simulated load test that the number of pods for a service increases when CPU utilization exceeds 75%.', 'Verify that when the load decreases, the number of pods scales back down to the minimum configured replica count.']"
1270,REQ-AUDIT-001,Non-Functional,"The system must record all critical actions in an immutable audit trail, including user logins, changes to permissions, and modifications to key data entities.",Auditability,The system shall maintain an immutable audit trail for all critical actions.,[],[],[],FALSE,high,"[""Verify that when a Super Admin approves a brand, an audit log entry is created containing the admin's ID, the action, the target brand ID, and a timestamp."", ""Verify that when a user's password is changed, a corresponding event is logged."", 'Verify that audit logs are stored in a secure, tamper-proof storage system and retained for a minimum of 24 months.']"
1271,REQ-FUNC-012,Functional,"The system shall provide a CSV-based bulk import mechanism for administrators to upload initial data sets, including Product Models and Technician Rosters.",System Transition,The system shall provide a mechanism for bulk import of data for new Brands and Service Centers.,[],[],[],FALSE,medium,"['Verify that an administrator can download a CSV template for product models.', 'Verify that a correctly formatted CSV file can be uploaded and its data is successfully imported into the database.', ""Verify that the system provides a validation or 'dry-run' mode that checks the file for errors without committing data."", 'Verify that a report of successful and failed rows is generated after an import attempt.']"